2026-06-28 22:42:09 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 22:42:09 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:42:09 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:42:09 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:42:09 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:42:09 | ERROR    | medical_ai | 1015325776.py:2422 | 
Errors: 1
2026-06-28 22:42:09 | ERROR    | medical_ai | 1015325776.py:2424 |    - Dataset for breast not loaded
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 22:50:37 | WARNING  | medical_ai | 1015325776.py:2333 |    ... and 36 more
2026-06-28 22:50:38 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 22:50:38 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:50:38 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:50:38 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:50:38 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 22:50:38 | ERROR    | medical_ai | 1015325776.py:2422 | 
Errors: 1
2026-06-28 22:50:38 | ERROR    | medical_ai | 1015325776.py:2424 |    - Dataset for breast not loaded
2026-06-28 23:04:16 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 23:04:16 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no precautions
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no description
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Asthma' has no precautions
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no description
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Bronchitis' has no precautions
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no description
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'COVID-19' has no precautions
2026-06-28 23:04:17 | WARNING  | medical_ai | 1015325776.py:2333 |    ... and 36 more
2026-06-28 23:04:18 | WARNING  | medical_ai | 1015325776.py:2415 | 
Warnings: 4
2026-06-28 23:04:18 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 23:04:18 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 23:04:18 | WARNING  | medical_ai | 1015325776.py:2417 |    - Preprocessor test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 23:04:18 | WARNING  | medical_ai | 1015325776.py:2417 |    - Prediction test failed: 'ColumnTransformer' object has no attribute '_name_to_fitted_passthrough'
2026-06-28 23:04:18 | ERROR    | medical_ai | 1015325776.py:2422 | 
Errors: 1
2026-06-28 23:04:18 | ERROR    | medical_ai | 1015325776.py:2424 |    - Dataset for breast not loaded
2026-06-28 23:12:09 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 23:12:09 | WARNING  | medical_ai | 1015325776.py:1769 |    Model compatibility issues found
2026-06-28 23:12:11 | WARNING  | medical_ai | 1015325776.py:2329 | Found 46 integrity issues:
2026-06-28 23:12:11 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no description
2026-06-28 23:12:11 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anemia' has no precautions
2026-06-28 23:12:11 | WARNING  | medical_ai | 1015325776.py:2331 |    - Disease 'Anxiety' has no description
